"#chr" "region_id" "TSS" "start" "end" "contexts" "original_data"
"chr20" "ENSG00000000419" 50958555 49934867 53560000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000000419.univariate_twas_weights.rds"
"chr1" "ENSG00000000457" 169894267 167600000 171480000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000000457.univariate_twas_weights.rds"
"chr1" "ENSG00000000460" 169662007 167600000 171480000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000000460.univariate_twas_weights.rds"
"chr1" "ENSG00000000938" 27635185 26612064 28720000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000000938.univariate_twas_weights.rds"
"chr1" "ENSG00000000971" 196652043 192440000 197747504 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000000971.univariate_twas_weights.rds"
"chr6" "ENSG00000001036" 143511720 141720000 144511720 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001036.univariate_twas_weights.rds"
"chr6" "ENSG00000001084" 53616970 52497341 54616970 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001084.univariate_twas_weights.rds"
"chr6" "ENSG00000001167" 41072945 38720000 42099976 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001167.univariate_twas_weights.rds"
"chr1" "ENSG00000001460" 24416934 23356999 25416934 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001460.univariate_twas_weights.rds"
"chr1" "ENSG00000001461" 24415802 23415801 25472976 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001461.univariate_twas_weights.rds"
"chr6" "ENSG00000001561" 46129989 45129988 47360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001561.univariate_twas_weights.rds"
"chr3" "ENSG00000001617" 50155045 46680000 51920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001617.univariate_twas_weights.rds"
"chr7" "ENSG00000001626" 117287120 116287119 118715971 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001626.univariate_twas_weights.rds"
"chr7" "ENSG00000001629" 92245974 90120000 93401383 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001629.univariate_twas_weights.rds"
"chr7" "ENSG00000001630" 92134803 90120000 93134803 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001630.univariate_twas_weights.rds"
"chr7" "ENSG00000001631" 92246166 90120000 93246166 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000001631.univariate_twas_weights.rds"
"chr12" "ENSG00000002016" 990053 0 1990053 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002016.univariate_twas_weights.rds"
"chr11" "ENSG00000002330" 64284665 61200000 65680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002330.univariate_twas_weights.rds"
"chr4" "ENSG00000002549" 17577198 15440000 18640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002549.univariate_twas_weights.rds"
"chr4" "ENSG00000002587" 11429564 8440000 12760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002587.univariate_twas_weights.rds"
"chr7" "ENSG00000002745" 121325367 120325366 122341104 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002745.univariate_twas_weights.rds"
"chr7" "ENSG00000002746" 43112629 42112628 44566001 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002746.univariate_twas_weights.rds"
"chr7" "ENSG00000002822" 2233243 0 6000000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002822.univariate_twas_weights.rds"
"chr17" "ENSG00000002834" 38869859 37869858 41920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002834.univariate_twas_weights.rds"
"chr17" "ENSG00000002919" 48103357 46320000 50760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002919.univariate_twas_weights.rds"
"chr7" "ENSG00000002933" 150800403 149080000 152840000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000002933.univariate_twas_weights.rds"
"chr12" "ENSG00000003056" 8949761 7840000 11520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003056.univariate_twas_weights.rds"
